flood_id,start_date,end_date,duration,total_rainfall,max_rainfall
1,1995-04-16,1995-04-16,1,21.091461,21.091461
2,1995-04-21,1995-04-21,1,13.184071,13.184071
3,1995-04-23,1995-04-23,1,12.695789,12.695789
4,1995-04-27,1995-04-27,1,16.746998,16.746998
5,1995-05-02,1995-05-02,1,13.2136345,13.2136345
6,1995-05-16,1995-05-17,2,25.836468,13.338566
7,1995-06-25,1995-06-25,1,18.28909,18.28909
8,1995-06-30,1995-06-30,1,15.117168,15.117168
9,1995-07-02,1995-07-03,2,39.918423,24.471283
10,1995-07-13,1995-07-13,1,11.694431,11.694431
11,1995-07-20,1995-07-20,1,20.581722,20.581722
12,1995-08-08,1995-08-08,1,12.80117,12.80117
13,1995-09-03,1995-09-03,1,14.160156,14.160156
14,1995-09-17,1995-09-17,1,21.633148,21.633148
15,1995-09-24,1995-09-24,1,18.687248,18.687248
16,1996-05-08,1996-05-08,1,20.897388,20.897388
17,1996-05-27,1996-05-27,1,14.014721,14.014721
18,1996-07-09,1996-07-09,1,15.816689,15.816689
19,1996-08-04,1996-08-04,1,11.996746,11.996746
20,1996-08-13,1996-08-14,2,41.311741,28.734207
21,1996-08-17,1996-08-17,1,54.74758,54.74758
22,1996-08-21,1996-08-21,1,11.513233,11.513233
23,1996-08-31,1996-08-31,1,18.69297,18.69297
24,1996-09-03,1996-09-03,1,17.60006,17.60006
25,1996-09-05,1996-09-06,2,69.97156100000001,39.191246
26,1996-09-12,1996-09-12,1,42.013645,42.013645
27,1996-10-13,1996-10-13,1,20.9136,20.9136
28,1997-04-21,1997-04-21,1,15.725613,15.725613
29,1997-06-13,1997-06-13,1,11.528492,11.528492
30,1997-06-23,1997-06-23,1,14.888287,14.888287
31,1997-07-14,1997-07-14,1,12.554646,12.554646
32,1997-07-21,1997-07-21,1,15.150547,15.150547
33,1997-07-31,1997-08-01,2,38.588523,24.53947
34,1997-08-09,1997-08-09,1,17.568111,17.568111
35,1997-08-16,1997-08-16,1,12.665272,12.665272
36,1997-09-02,1997-09-02,1,18.416405,18.416405
37,1997-09-04,1997-09-04,1,20.85638,20.85638
38,1997-09-11,1997-09-12,2,28.716563999999998,15.827179
39,1997-09-17,1997-09-17,1,14.097691,14.097691
40,1997-09-23,1997-09-23,1,12.461185,12.461185
41,1997-10-04,1997-10-04,1,11.886597,11.886597
42,1997-10-17,1997-10-18,2,33.704281,21.988392
43,1998-04-21,1998-04-22,2,46.028614,32.186985
44,1998-05-18,1998-05-18,1,13.287544,13.287544
45,1998-05-28,1998-05-28,1,14.728069,14.728069
46,1998-06-07,1998-06-07,1,14.6689415,14.6689415
47,1998-07-05,1998-07-05,1,11.401653,11.401653
48,1998-07-09,1998-07-09,1,13.599396,13.599396
49,1998-07-21,1998-07-21,1,28.273106,28.273106
50,1998-07-24,1998-07-24,1,15.254498,15.254498
51,1998-08-13,1998-08-15,3,64.536095,35.001755
52,1998-08-20,1998-08-21,2,31.20184,16.340256
53,1998-08-25,1998-08-26,2,26.992321,15.806198
54,1998-09-09,1998-09-09,1,19.608498,19.608498
55,1998-09-14,1998-09-15,2,33.024311,20.193577
56,1998-09-23,1998-09-23,1,11.868,11.868
57,1998-09-28,1998-09-28,1,14.001846,14.001846
58,1998-10-08,1998-10-09,2,33.287048999999996,19.341469
59,1999-04-14,1999-04-15,2,31.322479,17.616749
60,1999-05-15,1999-05-15,1,18.146515,18.146515
61,1999-06-18,1999-06-18,1,13.949394,13.949394
62,1999-06-23,1999-06-23,1,24.622917,24.622917
63,1999-06-30,1999-06-30,1,14.137745,14.137745
64,1999-07-02,1999-07-02,1,11.766434,11.766434
65,1999-07-07,1999-07-07,1,14.781475,14.781475
66,1999-07-13,1999-07-13,1,17.782211,17.782211
67,1999-07-17,1999-07-17,1,15.26165,15.26165
68,1999-07-22,1999-07-22,1,18.990993,18.990993
69,1999-07-24,1999-07-25,2,29.080868000000002,17.586231
70,1999-08-10,1999-08-11,2,32.683373,20.094872
71,1999-08-14,1999-08-14,1,13.565063,13.565063
72,1999-08-22,1999-08-22,1,17.433167,17.433167
73,1999-08-26,1999-08-27,2,33.782959,20.299435
74,1999-09-07,1999-09-08,2,67.124369,41.88204
75,1999-09-10,1999-09-10,1,26.134968,26.134968
76,1999-09-14,1999-09-14,1,16.759396,16.759396
77,1999-09-22,1999-09-22,1,11.206627,11.206627
78,1999-09-27,1999-09-27,1,14.220238,14.220238
79,1999-09-29,1999-09-29,1,12.614727,12.614727
80,1999-10-07,1999-10-07,1,12.119293,12.119293
81,2000-05-22,2000-05-22,1,13.192654,13.192654
82,2000-05-27,2000-05-27,1,16.739845,16.739845
83,2000-06-05,2000-06-06,2,31.609535,19.200325
84,2000-06-17,2000-06-17,1,12.739658,12.739658
85,2000-07-18,2000-07-18,1,13.06963,13.06963
86,2000-07-21,2000-07-22,2,26.804924,13.838768
87,2000-07-28,2000-07-28,1,12.643814,12.643814
88,2000-07-30,2000-07-30,1,18.477917,18.477917
89,2000-08-09,2000-08-09,1,11.704922,11.704922
90,2000-08-14,2000-08-14,1,18.63861,18.63861
91,2000-08-26,2000-08-26,1,14.425755,14.425755
92,2000-09-01,2000-09-01,1,21.009445,21.009445
93,2000-09-15,2000-09-15,1,13.467312,13.467312
94,2000-09-17,2000-09-18,2,45.13073,25.806427
95,2000-10-10,2000-10-10,1,90.95906,90.95906
